attempt_id,mandate_id,arm,cycle_index,scheduled_date,original_scheduled_date,attempt_number,amount_paise,rail,bank,psp_app,hour,day_of_month,days_since_salary_credit,outcome,intervention_action,suppressed_native_retry
MND000000-C0-A1,MND000000,control,0,2025-09-25,2025-09-25,1,249900,NETBANKING_EMANDATE,HDFC,,10,25,0,SUCCESS,NONE,False
MND000000-C1-A1,MND000000,control,1,2025-10-27,2025-10-27,1,249900,NETBANKING_EMANDATE,HDFC,,10,27,2,SUCCESS,NONE,False
MND000000-C2-A1,MND000000,control,2,2025-11-25,2025-11-25,1,249900,NETBANKING_EMANDATE,HDFC,,10,25,0,SUCCESS,NONE,False
MND000000-C3-A1,MND000000,control,3,2025-12-25,2025-12-25,1,249900,NETBANKING_EMANDATE,HDFC,,10,25,0,SUCCESS,NONE,False
MND000000-C4-A1,MND000000,control,4,2026-01-27,2026-01-27,1,249900,NETBANKING_EMANDATE,HDFC,,10,27,2,SUCCESS,NONE,False
MND000000-C5-A1,MND000000,control,5,2026-02-25,2026-02-25,1,249900,NETBANKING_EMANDATE,HDFC,,10,25,0,SUCCESS,NONE,False
MND000000-C6-A1,MND000000,control,6,2026-03-25,2026-03-25,1,249900,NETBANKING_EMANDATE,HDFC,,10,25,0,SUCCESS,NONE,False
MND000000-C7-A1,MND000000,control,7,2026-04-27,2026-04-27,1,249900,NETBANKING_EMANDATE,HDFC,,10,27,2,SUCCESS,NONE,False
MND000000-C8-A1,MND000000,control,8,2026-05-25,2026-05-25,1,249900,NETBANKING_EMANDATE,HDFC,,10,25,0,FAILED,NONE,False
MND000000-C8-A2,MND000000,control,8,2026-05-26,2026-05-25,2,249900,NETBANKING_EMANDATE,HDFC,,23,26,1,SUCCESS,NONE,False
MND000000-C9-A1,MND000000,control,9,2026-06-25,2026-06-25,1,249900,NETBANKING_EMANDATE,HDFC,,10,25,0,SUCCESS,NONE,False
MND000000-C10-A1,MND000000,control,10,2026-07-27,2026-07-27,1,249900,NETBANKING_EMANDATE,HDFC,,10,27,2,SUCCESS,NONE,False
MND000000-C11-A1,MND000000,control,11,2026-08-25,2026-08-25,1,249900,NETBANKING_EMANDATE,HDFC,,10,25,0,SUCCESS,NONE,False
MND000001-C0-A1,MND000001,treatment,0,2025-09-01,2025-09-01,1,14900,CARD_EMANDATE,HDFC,,10,1,0,SUCCESS,NONE,False
MND000001-C1-A1,MND000001,treatment,1,2025-10-01,2025-10-01,1,14900,CARD_EMANDATE,HDFC,,10,1,0,SUCCESS,NONE,False
MND000001-C2-A1,MND000001,treatment,2,2025-11-03,2025-11-03,1,14900,CARD_EMANDATE,HDFC,,10,3,2,SUCCESS,NONE,False
MND000001-C3-A1,MND000001,treatment,3,2025-12-01,2025-12-01,1,14900,CARD_EMANDATE,HDFC,,10,1,0,SUCCESS,NONE,False
MND000001-C4-A1,MND000001,treatment,4,2026-01-01,2026-01-01,1,14900,CARD_EMANDATE,HDFC,,10,1,0,SUCCESS,NONE,False
MND000001-C5-A1,MND000001,treatment,5,2026-02-02,2026-02-02,1,14900,CARD_EMANDATE,HDFC,,10,2,1,SUCCESS,NONE,False
MND000001-C6-A1,MND000001,treatment,6,2026-03-02,2026-03-02,1,14900,CARD_EMANDATE,HDFC,,10,2,1,SUCCESS,NONE,False
MND000001-C7-A1,MND000001,treatment,7,2026-04-01,2026-04-01,1,14900,CARD_EMANDATE,HDFC,,10,1,0,SUCCESS,NONE,False
MND000001-C8-A1,MND000001,treatment,8,2026-05-04,2026-05-04,1,14900,CARD_EMANDATE,HDFC,,10,4,3,SUCCESS,NONE,False
MND000001-C9-A1,MND000001,treatment,9,2026-06-01,2026-06-01,1,14900,CARD_EMANDATE,HDFC,,10,1,0,FAILED,NONE,False
MND000001-C9-A2,MND000001,treatment,9,2026-06-02,2026-06-01,2,14900,CARD_EMANDATE,HDFC,,10,2,1,SUCCESS,NONE,False
MND000001-C10-A1,MND000001,treatment,10,2026-07-01,2026-07-01,1,14900,CARD_EMANDATE,HDFC,,10,1,0,SUCCESS,NONE,False
MND000001-C11-A1,MND000001,treatment,11,2026-08-03,2026-08-03,1,14900,CARD_EMANDATE,HDFC,,10,3,2,SUCCESS,NONE,False
MND000003-C0-A1,MND000003,treatment,0,2025-09-25,2025-09-25,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,25,0,SUCCESS,NONE,False
MND000003-C1-A1,MND000003,treatment,1,2025-10-27,2025-10-27,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,27,2,SUCCESS,NONE,False
MND000003-C2-A1,MND000003,treatment,2,2025-11-25,2025-11-25,1,14900,UPI_AUTOPAY,ICICI,PHONEPE,10,25,0,SUCCESS,NONE,False
