attempt_id,mandate_id,outcome,true_cause
MND000000-C0-A1,MND000000,SUCCESS,NONE
MND000000-C1-A1,MND000000,SUCCESS,NONE
MND000000-C2-A1,MND000000,SUCCESS,NONE
MND000000-C3-A1,MND000000,SUCCESS,NONE
MND000000-C4-A1,MND000000,SUCCESS,NONE
MND000000-C5-A1,MND000000,SUCCESS,NONE
MND000000-C6-A1,MND000000,SUCCESS,NONE
MND000000-C7-A1,MND000000,SUCCESS,NONE
MND000000-C8-A1,MND000000,FAILED,INSUFFICIENT_FUNDS
MND000000-C8-A2,MND000000,SUCCESS,NONE
MND000000-C9-A1,MND000000,SUCCESS,NONE
MND000000-C10-A1,MND000000,SUCCESS,NONE
MND000000-C11-A1,MND000000,SUCCESS,NONE
MND000001-C0-A1,MND000001,SUCCESS,NONE
MND000001-C1-A1,MND000001,SUCCESS,NONE
MND000001-C2-A1,MND000001,SUCCESS,NONE
MND000001-C3-A1,MND000001,SUCCESS,NONE
MND000001-C4-A1,MND000001,SUCCESS,NONE
MND000001-C5-A1,MND000001,SUCCESS,NONE
MND000001-C6-A1,MND000001,SUCCESS,NONE
MND000001-C7-A1,MND000001,SUCCESS,NONE
MND000001-C8-A1,MND000001,SUCCESS,NONE
MND000001-C9-A1,MND000001,FAILED,INSUFFICIENT_FUNDS
MND000001-C9-A2,MND000001,SUCCESS,NONE
MND000001-C10-A1,MND000001,SUCCESS,NONE
MND000001-C11-A1,MND000001,SUCCESS,NONE
MND000003-C0-A1,MND000003,SUCCESS,NONE
MND000003-C1-A1,MND000003,SUCCESS,NONE
MND000003-C2-A1,MND000003,SUCCESS,NONE
MND000003-C3-A1,MND000003,SUCCESS,NONE
MND000003-C4-A1,MND000003,SUCCESS,NONE
MND000003-C5-A1,MND000003,SUCCESS,NONE
MND000003-C6-A1,MND000003,SUCCESS,NONE
MND000003-C7-A1,MND000003,SUCCESS,NONE
MND000003-C8-A1,MND000003,SUCCESS,NONE
MND000003-C9-A1,MND000003,SUCCESS,NONE
MND000003-C10-A1,MND000003,SUCCESS,NONE
MND000003-C11-A1,MND000003,SUCCESS,NONE
MND000004-C0-A1,MND000004,SUCCESS,NONE
MND000004-C1-A1,MND000004,SUCCESS,NONE
MND000004-C2-A1,MND000004,SUCCESS,NONE
MND000004-C3-A1,MND000004,FAILED,INSUFFICIENT_FUNDS
MND000004-C3-A2,MND000004,SUCCESS,NONE
MND000004-C4-A1,MND000004,SUCCESS,NONE
MND000004-C5-A1,MND000004,SUCCESS,NONE
MND000004-C6-A1,MND000004,SUCCESS,NONE
MND000004-C7-A1,MND000004,SUCCESS,NONE
MND000004-C8-A1,MND000004,FAILED,INSUFFICIENT_FUNDS
MND000004-C8-A2,MND000004,SUCCESS,NONE
MND000004-C9-A1,MND000004,SUCCESS,NONE
MND000004-C10-A1,MND000004,SUCCESS,NONE
MND000004-C11-A1,MND000004,SUCCESS,NONE
MND000005-C0-A1,MND000005,SUCCESS,NONE
MND000005-C1-A1,MND000005,SUCCESS,NONE
MND000005-C2-A1,MND000005,SUCCESS,NONE
MND000005-C3-A1,MND000005,FAILED,INSUFFICIENT_FUNDS
MND000005-C3-A2,MND000005,SUCCESS,NONE
MND000006-C0-A1,MND000006,SUCCESS,NONE
MND000006-C1-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C1-A2,MND000006,SUCCESS,NONE
MND000006-C2-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C2-A2,MND000006,SUCCESS,NONE
MND000006-C3-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C3-A2,MND000006,SUCCESS,NONE
MND000006-C4-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C4-A2,MND000006,SUCCESS,NONE
MND000006-C5-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C5-A2,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C5-A3,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C6-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C6-A2,MND000006,SUCCESS,NONE
MND000006-C7-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C7-A2,MND000006,SUCCESS,NONE
MND000006-C8-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C8-A2,MND000006,SUCCESS,NONE
MND000006-C9-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C9-A2,MND000006,SUCCESS,NONE
MND000006-C10-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C10-A2,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C10-A3,MND000006,SUCCESS,NONE
MND000006-C11-A1,MND000006,FAILED,PSP_APP_UNAVAILABLE
MND000006-C11-A2,MND000006,SUCCESS,NONE
MND000007-C0-A1,MND000007,SUCCESS,NONE
MND000008-C0-A1,MND000008,SUCCESS,NONE
MND000008-C1-A1,MND000008,SUCCESS,NONE
MND000008-C2-A1,MND000008,SUCCESS,NONE
MND000008-C3-A1,MND000008,SUCCESS,NONE
MND000008-C4-A1,MND000008,SUCCESS,NONE
MND000008-C5-A1,MND000008,SUCCESS,NONE
MND000008-C6-A1,MND000008,SUCCESS,NONE
MND000008-C7-A1,MND000008,SUCCESS,NONE
MND000008-C8-A1,MND000008,SUCCESS,NONE
MND000008-C9-A1,MND000008,SUCCESS,NONE
MND000008-C10-A1,MND000008,SUCCESS,NONE
MND000008-C11-A1,MND000008,SUCCESS,NONE
MND000009-C0-A1,MND000009,FAILED,BANK_TECHNICAL_ERROR
