mandate_id,customer_id,stage
MND000002,CUST000002,CREATED_NEVER_REGISTERED
MND000017,CUST000017,CREATED_NEVER_REGISTERED
MND000020,CUST000020,CREATED_NEVER_REGISTERED
MND000022,CUST000022,CREATED_NEVER_REGISTERED
MND000026,CUST000026,CREATED_NEVER_REGISTERED
MND000027,CUST000027,CREATED_NEVER_REGISTERED
MND000029,CUST000029,CREATED_NEVER_REGISTERED
MND000032,CUST000032,CREATED_NEVER_REGISTERED
MND000033,CUST000033,CREATED_NEVER_REGISTERED
MND000034,CUST000034,CREATED_NEVER_REGISTERED
MND000038,CUST000038,CREATED_NEVER_REGISTERED
MND000039,CUST000039,CREATED_NEVER_REGISTERED
MND000040,CUST000040,CREATED_NEVER_REGISTERED
MND000042,CUST000042,CREATED_NEVER_REGISTERED
MND000045,CUST000045,CREATED_NEVER_REGISTERED
MND000050,CUST000050,CREATED_NEVER_REGISTERED
MND000052,CUST000052,CREATED_NEVER_REGISTERED
MND000056,CUST000056,CREATED_NEVER_REGISTERED
MND000058,CUST000058,CREATED_NEVER_REGISTERED
MND000059,CUST000059,CREATED_NEVER_REGISTERED
MND000061,CUST000061,CREATED_NEVER_REGISTERED
MND000065,CUST000065,CREATED_NEVER_REGISTERED
MND000066,CUST000066,CREATED_NEVER_REGISTERED
MND000067,CUST000067,CREATED_NEVER_REGISTERED
MND000070,CUST000070,CREATED_NEVER_REGISTERED
MND000072,CUST000072,CREATED_NEVER_REGISTERED
MND000074,CUST000074,CREATED_NEVER_REGISTERED
MND000077,CUST000077,CREATED_NEVER_REGISTERED
MND000078,CUST000078,CREATED_NEVER_REGISTERED
MND000079,CUST000079,CREATED_NEVER_REGISTERED
MND000091,CUST000091,CREATED_NEVER_REGISTERED
MND000094,CUST000094,CREATED_NEVER_REGISTERED
MND000095,CUST000095,CREATED_NEVER_REGISTERED
MND000100,CUST000100,CREATED_NEVER_REGISTERED
MND000110,CUST000110,CREATED_NEVER_REGISTERED
MND000113,CUST000113,CREATED_NEVER_REGISTERED
MND000120,CUST000120,CREATED_NEVER_REGISTERED
MND000122,CUST000122,CREATED_NEVER_REGISTERED
MND000124,CUST000124,CREATED_NEVER_REGISTERED
MND000133,CUST000133,CREATED_NEVER_REGISTERED
MND000135,CUST000135,CREATED_NEVER_REGISTERED
MND000137,CUST000137,CREATED_NEVER_REGISTERED
MND000144,CUST000144,CREATED_NEVER_REGISTERED
MND000145,CUST000145,CREATED_NEVER_REGISTERED
MND000146,CUST000146,CREATED_NEVER_REGISTERED
MND000149,CUST000149,CREATED_NEVER_REGISTERED
MND000156,CUST000156,CREATED_NEVER_REGISTERED
MND000157,CUST000157,CREATED_NEVER_REGISTERED
MND000163,CUST000163,CREATED_NEVER_REGISTERED
MND000164,CUST000164,CREATED_NEVER_REGISTERED
MND000168,CUST000168,CREATED_NEVER_REGISTERED
MND000169,CUST000169,CREATED_NEVER_REGISTERED
MND000170,CUST000170,CREATED_NEVER_REGISTERED
MND000179,CUST000179,CREATED_NEVER_REGISTERED
MND000180,CUST000180,CREATED_NEVER_REGISTERED
MND000183,CUST000183,CREATED_NEVER_REGISTERED
MND000187,CUST000187,CREATED_NEVER_REGISTERED
MND000192,CUST000192,CREATED_NEVER_REGISTERED
MND000194,CUST000194,CREATED_NEVER_REGISTERED
MND000196,CUST000196,CREATED_NEVER_REGISTERED
MND000199,CUST000199,CREATED_NEVER_REGISTERED
MND000202,CUST000202,CREATED_NEVER_REGISTERED
MND000204,CUST000204,CREATED_NEVER_REGISTERED
MND000205,CUST000205,CREATED_NEVER_REGISTERED
MND000209,CUST000209,CREATED_NEVER_REGISTERED
MND000214,CUST000214,CREATED_NEVER_REGISTERED
MND000221,CUST000221,CREATED_NEVER_REGISTERED
MND000222,CUST000222,CREATED_NEVER_REGISTERED
MND000224,CUST000224,CREATED_NEVER_REGISTERED
MND000228,CUST000228,CREATED_NEVER_REGISTERED
MND000230,CUST000230,CREATED_NEVER_REGISTERED
MND000231,CUST000231,CREATED_NEVER_REGISTERED
MND000232,CUST000232,CREATED_NEVER_REGISTERED
MND000235,CUST000235,CREATED_NEVER_REGISTERED
MND000236,CUST000236,CREATED_NEVER_REGISTERED
MND000237,CUST000237,CREATED_NEVER_REGISTERED
MND000239,CUST000239,CREATED_NEVER_REGISTERED
MND000242,CUST000242,CREATED_NEVER_REGISTERED
MND000245,CUST000245,CREATED_NEVER_REGISTERED
MND000246,CUST000246,CREATED_NEVER_REGISTERED
MND000251,CUST000251,CREATED_NEVER_REGISTERED
MND000259,CUST000259,CREATED_NEVER_REGISTERED
MND000260,CUST000260,CREATED_NEVER_REGISTERED
MND000262,CUST000262,CREATED_NEVER_REGISTERED
MND000263,CUST000263,CREATED_NEVER_REGISTERED
MND000264,CUST000264,CREATED_NEVER_REGISTERED
MND000266,CUST000266,CREATED_NEVER_REGISTERED
MND000268,CUST000268,CREATED_NEVER_REGISTERED
MND000269,CUST000269,CREATED_NEVER_REGISTERED
MND000270,CUST000270,CREATED_NEVER_REGISTERED
MND000271,CUST000271,CREATED_NEVER_REGISTERED
MND000272,CUST000272,CREATED_NEVER_REGISTERED
MND000274,CUST000274,CREATED_NEVER_REGISTERED
MND000279,CUST000279,CREATED_NEVER_REGISTERED
MND000284,CUST000284,CREATED_NEVER_REGISTERED
MND000287,CUST000287,CREATED_NEVER_REGISTERED
MND000289,CUST000289,CREATED_NEVER_REGISTERED
MND000290,CUST000290,CREATED_NEVER_REGISTERED
MND000291,CUST000291,CREATED_NEVER_REGISTERED
MND000293,CUST000293,CREATED_NEVER_REGISTERED
MND000294,CUST000294,CREATED_NEVER_REGISTERED
MND000295,CUST000295,CREATED_NEVER_REGISTERED
MND000301,CUST000301,CREATED_NEVER_REGISTERED
MND000302,CUST000302,CREATED_NEVER_REGISTERED
MND000306,CUST000306,CREATED_NEVER_REGISTERED
MND000309,CUST000309,CREATED_NEVER_REGISTERED
MND000316,CUST000316,CREATED_NEVER_REGISTERED
MND000317,CUST000317,CREATED_NEVER_REGISTERED
MND000323,CUST000323,CREATED_NEVER_REGISTERED
MND000329,CUST000329,CREATED_NEVER_REGISTERED
MND000335,CUST000335,CREATED_NEVER_REGISTERED
MND000337,CUST000337,CREATED_NEVER_REGISTERED
MND000338,CUST000338,CREATED_NEVER_REGISTERED
MND000346,CUST000346,CREATED_NEVER_REGISTERED
MND000347,CUST000347,CREATED_NEVER_REGISTERED
MND000350,CUST000350,CREATED_NEVER_REGISTERED
MND000353,CUST000353,CREATED_NEVER_REGISTERED
MND000354,CUST000354,CREATED_NEVER_REGISTERED
MND000356,CUST000356,CREATED_NEVER_REGISTERED
MND000358,CUST000358,CREATED_NEVER_REGISTERED
MND000362,CUST000362,CREATED_NEVER_REGISTERED
MND000363,CUST000363,CREATED_NEVER_REGISTERED
MND000364,CUST000364,CREATED_NEVER_REGISTERED
MND000371,CUST000371,CREATED_NEVER_REGISTERED
MND000372,CUST000372,CREATED_NEVER_REGISTERED
MND000386,CUST000386,CREATED_NEVER_REGISTERED
MND000389,CUST000389,CREATED_NEVER_REGISTERED
MND000394,CUST000394,CREATED_NEVER_REGISTERED
MND000395,CUST000395,CREATED_NEVER_REGISTERED
MND000405,CUST000405,CREATED_NEVER_REGISTERED
MND000410,CUST000410,CREATED_NEVER_REGISTERED
MND000413,CUST000413,CREATED_NEVER_REGISTERED
MND000414,CUST000414,CREATED_NEVER_REGISTERED
MND000417,CUST000417,CREATED_NEVER_REGISTERED
MND000420,CUST000420,CREATED_NEVER_REGISTERED
MND000421,CUST000421,CREATED_NEVER_REGISTERED
MND000423,CUST000423,CREATED_NEVER_REGISTERED
MND000424,CUST000424,CREATED_NEVER_REGISTERED
MND000427,CUST000427,CREATED_NEVER_REGISTERED
MND000428,CUST000428,CREATED_NEVER_REGISTERED
MND000429,CUST000429,CREATED_NEVER_REGISTERED
MND000432,CUST000432,CREATED_NEVER_REGISTERED
MND000437,CUST000437,CREATED_NEVER_REGISTERED
